시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Severity
울산,울주군,906,27,1373,350,899,2019,101,120,132,131,135,167,120,26,14,28,79,91,98,90,116,118,133,66,47,0.25491624180626365
경기,시흥시,2385,32,3615,625,2781,2021,255,355,327,349,352,418,329,66,32,59,173,244,210,255,233,320,351,266,176,0.17289073305670816
경북,구미시,1652,29,2338,516,1686,2022,183,209,281,241,251,272,215,71,30,26,109,180,154,163,167,208,251,182,111,0.22070145423438836
전북,김제시,263,13,398,118,276,2021,25,41,36,48,38,37,38,3,3,4,16,27,34,31,43,41,30,16,15,0.2964824120603015
대구,달서구,3679,17,5381,935,3992,2019,387,549,549,571,517,561,545,157,94,89,206,330,298,364,365,457,604,437,278,0.17375952425199778
경북,경산시,874,20,1202,274,912,2022,86,124,127,122,146,149,120,22,13,13,41,94,90,98,86,104,155,104,54,0.22795341098169716
부산,사상구,1100,13,1528,311,964,2019,103,161,166,177,153,184,156,44,21,32,54,126,100,118,127,163,151,90,74,0.20353403141361257
전북,김제시,368,29,590,155,426,2020,36,73,56,50,56,46,51,11,5,9,25,37,47,41,49,55,52,25,12,0.2627118644067797
서울,동대문구,1699,14,2160,597,1408,2018,174,265,222,248,257,268,265,70,46,58,102,170,160,183,195,212,196,170,137,0.2763888888888889
대구,서구,1008,8,1501,271,1105,2021,103,158,142,138,138,169,160,35,12,19,73,114,110,124,120,122,135,88,56,0.18054630246502332
서울,중구,854,3,1156,250,826,2021,74,112,135,141,144,160,88,27,28,19,34,61,83,116,96,81,138,90,81,0.21626297577854672
경기,용인시,3485,34,5698,1009,3916,2019,340,529,495,540,569,527,485,128,74,81,241,423,331,348,385,440,471,324,239,0.1770796770796771
경기,의정부시,1704,17,2462,448,1720,2019,190,255,261,226,247,263,262,80,48,64,91,166,141,159,180,222,231,168,154,0.18196588139723802
전남,강진군,321,6,523,140,343,2019,40,38,52,50,44,51,46,2,3,4,17,49,55,38,61,47,29,9,7,0.2676864244741874
부산,북구,694,11,922,209,642,2020,83,97,103,95,100,104,112,22,16,17,40,45,53,79,89,84,121,85,43,0.22668112798264642
전남,고흥군,275,15,430,132,280,2021,44,45,33,39,37,50,27,4,4,3,12,43,40,50,42,35,21,13,8,0.30697674418604654
서울,송파구,2892,13,4003,736,2823,2019,299,410,444,426,432,471,410,162,87,88,141,311,262,263,311,347,373,297,250,0.18386210342243317
서울,금천구,844,9,1152,204,873,2022,95,117,123,111,133,132,133,49,15,24,48,70,77,82,86,113,118,100,62,0.17708333333333334
전북,김제시,481,23,874,183,678,2019,50,82,70,72,68,75,64,11,3,13,29,46,58,60,71,74,57,39,20,0.20938215102974828
부산,동구,484,5,626,121,466,2021,45,62,97,57,69,83,71,14,2,6,24,60,55,66,71,60,48,40,38,0.19329073482428116
경남,함양군,174,9,253,99,119,2021,16,28,35,24,25,29,17,2,2,1,11,25,28,22,26,25,20,7,5,0.391304347826087
인천,계양구,894,4,1250,235,964,2020,73,137,146,138,128,138,134,34,24,25,53,74,89,85,106,123,127,92,62,0.188
강원,강릉시,712,14,1046,194,840,2022,87,104,106,87,103,100,125,16,7,7,30,61,81,103,117,90,90,66,44,0.18546845124282982
서울,서대문구,1033,5,1403,326,890,2018,111,165,123,149,154,180,151,71,45,33,55,104,97,93,102,122,123,102,86,0.2323592302209551
강원,홍천군,357,10,573,135,420,2020,36,41,38,52,44,74,72,7,3,1,15,30,46,65,52,60,53,13,12,0.2356020942408377
경기,하남시,1195,9,1731,238,1291,2021,115,194,195,158,183,191,159,23,10,16,66,123,134,120,140,177,197,112,77,0.13749277874061236
전북,익산시,987,23,1433,287,1137,2021,98,146,158,129,147,165,144,27,11,23,48,84,102,107,115,154,151,94,71,0.2002791346824843
인천,서구,1688,24,2306,401,1877,2021,164,267,248,239,291,270,209,42,22,39,111,159,145,171,186,239,240,202,132,0.17389418907198612
인천,옹진군,33,1,67,12,52,2021,6,0,5,4,5,6,7,1,0,0,0,3,5,5,5,4,8,2,0,0.1791044776119403
부산,수영구,717,3,953,213,672,2022,83,103,108,106,99,111,107,28,15,16,18,58,74,100,107,91,89,66,55,0.22350472193074503
경북,청송군,95,10,142,52,85,2018,14,14,20,14,7,10,16,1,0,1,6,11,18,14,12,18,8,3,3,0.36619718309859156
강원,삼척시,209,8,289,80,209,2022,21,26,35,41,27,30,29,2,1,7,7,17,26,30,38,34,31,13,3,0.2768166089965398
전남,함평군,209,6,358,84,214,2018,21,28,38,30,27,38,27,4,1,6,11,36,30,34,35,18,20,9,5,0.2346368715083799
경남,남해군,192,8,297,130,120,2019,23,37,32,25,16,32,27,3,1,4,11,23,24,28,35,31,18,9,5,0.4377104377104377
전남,해남군,366,17,552,154,391,2018,30,50,52,64,66,58,46,6,1,3,20,70,57,56,38,43,40,19,13,0.27898550724637683
강원,속초시,446,1,699,193,495,2020,69,62,52,50,62,74,77,25,4,5,18,45,51,50,56,49,64,43,36,0.2761087267525036
인천,동구,113,0,158,33,123,2022,8,16,12,25,16,20,16,3,3,2,6,12,12,14,19,13,14,9,6,0.2088607594936709
충북,충주시,1053,28,1561,324,1214,2022,111,159,149,154,154,162,164,25,11,13,58,114,133,131,139,140,146,96,47,0.20755925688661114
경북,영천시,793,23,1351,254,1047,2019,81,120,121,106,115,127,123,15,9,18,49,92,90,77,123,126,109,52,33,0.18800888230940044
충남,보령시,468,12,682,244,431,2020,65,70,55,60,63,83,72,9,5,10,23,52,53,48,64,54,64,51,35,0.35777126099706746
울산,남구,1383,9,1925,491,1299,2019,153,217,208,198,194,221,192,91,42,43,93,131,118,139,123,156,180,136,131,0.25506493506493505
전남,고흥군,287,14,435,174,255,2018,35,43,35,52,39,42,41,7,2,2,16,51,30,38,41,43,32,16,9,0.4
경기,여주시,538,14,929,155,735,2021,57,74,79,73,85,91,79,8,7,9,33,47,61,74,80,73,68,54,24,0.1668460710441335
전남,장흥군,301,11,466,142,316,2019,24,39,59,51,39,50,39,8,2,4,23,53,40,44,32,39,34,12,10,0.30472103004291845
경남,창녕군,227,9,328,139,169,2022,27,35,32,38,35,30,30,3,4,2,14,21,41,26,39,35,27,11,4,0.42378048780487804
전북,장수군,34,6,52,18,34,2021,2,7,4,6,3,7,5,0,0,2,3,3,6,3,6,4,6,1,0,0.34615384615384615
경기,수원시,4920,31,7044,1172,5216,2019,563,692,715,676,776,753,745,253,163,183,257,506,416,437,514,567,699,517,408,0.16638273708120385
대구,달성군,856,13,1248,253,911,2021,85,146,120,117,121,144,123,23,10,11,41,85,76,96,120,129,147,79,39,0.20272435897435898
부산,영도구,348,3,464,125,301,2019,37,54,52,68,49,49,39,21,10,4,22,32,40,35,45,51,44,22,22,0.26939655172413796
경기,동두천시,329,4,456,97,328,2020,48,48,49,45,60,41,38,20,3,5,20,30,28,46,33,52,50,27,15,0.21271929824561403
충북,음성군,528,12,814,213,576,2021,53,81,71,88,74,98,63,8,7,12,39,60,43,47,54,74,84,66,34,0.2616707616707617
서울,강서구,1501,13,2042,414,1517,2021,145,202,196,247,241,228,242,47,27,24,67,116,143,154,163,207,227,194,132,0.20274240940254654
서울,마포구,1272,13,1754,301,1291,2020,151,171,194,192,169,190,205,105,62,42,38,91,112,109,109,157,183,147,117,0.17160775370581527
인천,연수구,687,17,978,255,691,2018,68,82,102,95,111,117,112,45,27,26,33,64,63,52,65,84,93,71,64,0.2607361963190184
충남,천안시,3039,29,4392,678,3492,2021,358,452,415,452,429,488,445,139,46,62,186,281,283,298,340,356,480,304,264,0.15437158469945356
충남,아산시,1267,21,1871,356,1474,2022,129,193,190,183,169,226,177,40,17,30,92,137,117,110,152,167,183,132,90,0.1902725815072154
강원,강릉시,918,22,1410,291,1098,2018,106,148,112,132,137,139,144,35,13,22,34,101,96,100,116,128,117,78,78,0.20638297872340425
강원,고성군,119,5,199,74,115,2021,18,10,14,11,24,14,28,2,1,1,8,12,18,23,25,13,8,4,4,0.37185929648241206
강원,영월군,156,4,252,55,90,2019,19,27,20,19,21,29,21,2,0,7,8,23,33,14,16,23,23,3,4,0.21825396825396826
경기,오산시,1108,7,1571,263,1107,2021,111,143,142,174,174,204,160,36,14,22,65,93,96,103,123,159,181,124,92,0.16740929344366645
경기,양평군,532,15,826,225,532,2018,82,75,75,77,62,75,86,10,2,9,22,69,58,64,85,88,73,31,21,0.27239709443099275
경북,의성군,223,9,305,132,165,2022,24,45,30,26,31,37,30,2,4,3,14,26,28,45,26,32,28,8,7,0.43278688524590164
충남,공주시,445,13,730,170,531,2022,59,79,55,55,65,65,67,9,9,6,22,51,40,66,61,64,55,41,21,0.2328767123287671
대구,동구,1522,8,2196,343,1653,2022,186,212,209,227,221,242,225,45,24,32,44,162,153,167,203,201,249,143,99,0.15619307832422585
전북,순창군,103,12,145,33,83,2022,8,16,11,13,13,15,27,0,0,2,6,12,18,13,21,9,12,6,4,0.22758620689655173
부산,연제구,646,4,850,174,620,2022,66,99,100,86,96,103,96,20,18,15,23,68,78,85,76,61,85,67,50,0.20470588235294118
서울,동작구,1148,11,1520,243,1115,2021,127,159,169,166,163,181,183,26,16,30,44,111,108,133,132,148,180,120,100,0.15986842105263158
경기,용인시,3205,37,5116,1143,3282,2018,289,450,481,475,512,527,471,138,65,92,222,381,300,307,332,385,463,294,226,0.22341673182173574
서울,관악구,1172,9,1535,285,1199,2022,142,164,170,160,163,198,175,63,27,38,53,97,99,125,114,143,173,133,107,0.18566775244299674
인천,강화군,198,7,285,73,204,2021,26,26,24,25,37,23,37,2,2,3,9,25,21,27,39,28,20,16,6,0.256140350877193
전북,임실군,79,4,116,39,75,2022,8,10,13,11,17,10,10,0,0,0,3,17,10,13,9,10,12,3,2,0.33620689655172414
강원,횡성군,208,9,304,88,203,2021,34,31,19,23,30,32,39,0,1,3,12,25,24,31,31,43,24,14,0,0.2894736842105263
대구,달성군,868,15,1279,311,900,2018,115,115,117,133,112,147,129,28,8,16,54,90,65,87,92,105,151,115,57,0.24315871774824083
경기,여주시,513,14,814,195,577,2018,57,68,53,80,91,83,81,17,12,9,32,54,54,54,60,68,80,43,30,0.23955773955773957
대전,동구,1258,24,1811,398,1380,2018,148,197,170,174,179,199,191,54,25,32,85,114,108,134,124,178,167,135,102,0.21976808393152955
경기,과천시,168,1,256,41,202,2021,14,30,22,28,21,25,28,4,0,2,15,26,15,19,25,20,18,14,10,0.16015625
강원,평창군,196,13,354,79,258,2022,22,14,33,18,20,35,54,2,2,2,6,22,24,30,32,33,21,13,9,0.2231638418079096
경기,파주시,1708,28,2428,458,1816,2021,193,249,241,252,282,254,237,34,17,24,103,180,155,202,198,239,269,178,109,0.1886326194398682
부산,사하구,916,7,1213,331,809,2022,94,114,153,135,149,143,128,24,22,27,75,112,82,84,105,128,113,85,59,0.27287716405605933
충남,예산군,343,18,550,109,422,2022,44,43,58,42,53,51,52,9,5,11,17,36,36,35,58,51,38,34,13,0.19818181818181818
충북,보은군,136,10,231,55,174,2021,19,18,18,25,16,21,19,2,3,0,6,14,19,9,24,25,20,5,9,0.23809523809523808
서울,송파구,2860,27,3932,778,2681,2018,278,398,418,425,433,477,431,170,111,95,166,261,245,258,329,321,356,297,251,0.19786368260427264
인천,계양구,749,9,1009,171,808,2021,86,116,112,103,112,119,101,19,5,21,39,73,68,83,77,100,111,92,61,0.1694747274529237
경기,안양시,1616,20,2366,494,1711,2019,195,233,229,238,216,264,241,100,47,41,87,160,162,160,151,187,206,179,136,0.2087912087912088
대구,동구,1954,19,2975,565,2165,2019,240,276,281,282,290,292,293,57,44,36,89,193,189,201,241,273,292,212,127,0.1899159663865546
충남,계룡시,47,2,72,18,53,2022,4,4,9,6,10,8,6,1,0,2,0,8,5,6,5,7,5,5,3,0.25
전남,강진군,302,14,536,117,392,2018,25,51,47,26,36,49,68,3,6,7,18,41,45,37,47,42,33,13,10,0.21828358208955223
전남,완도군,170,12,245,43,193,2020,15,24,27,30,34,17,23,4,2,3,8,16,21,26,33,16,29,10,2,0.17551020408163265
충남,아산시,1185,27,1687,360,1279,2021,143,175,161,194,158,192,162,36,23,25,82,109,99,122,150,152,187,115,85,0.21339656194427978
전북,진안군,50,5,75,32,43,2018,8,7,6,9,9,10,1,0,0,0,6,12,8,2,3,12,5,2,0,0.4266666666666667
울산,울주군,830,24,1308,354,821,2018,93,121,133,118,112,131,122,23,15,31,84,100,82,69,89,107,97,80,53,0.2706422018348624
강원,속초시,433,6,660,193,457,2018,56,70,55,60,64,74,54,15,7,5,16,56,46,52,54,47,55,51,29,0.2924242424242424
전북,군산시,1225,25,1915,343,1512,2019,139,168,201,172,167,194,184,47,23,34,81,120,111,124,123,185,171,126,80,0.17911227154046996
전남,영광군,225,11,347,91,227,2019,17,33,29,34,31,37,44,3,2,4,17,23,35,25,31,28,32,17,8,0.2622478386167147
전남,여수시,1567,27,2408,410,1930,2019,171,201,207,250,237,270,231,57,29,36,117,149,151,179,190,220,193,148,98,0.17026578073089702
서울,동작구,1412,9,1892,417,1242,2018,147,198,191,216,231,218,211,90,55,55,75,166,110,127,131,135,188,147,133,0.2204016913319239
경남,양산시,1286,25,1851,530,1157,2019,143,194,179,185,208,211,166,55,23,33,88,133,123,131,149,175,193,118,65,0.2863317125877904
충남,청양군,151,7,230,93,129,2021,16,19,19,17,22,31,27,1,0,4,9,15,26,11,35,23,16,7,4,0.4043478260869565
충북,증평군,152,3,207,41,146,2022,23,17,28,22,24,17,21,3,4,3,4,17,16,25,18,27,20,9,6,0.19806763285024154
전남,장흥군,255,9,403,71,327,2020,25,61,35,37,27,41,29,4,1,3,15,39,45,33,39,29,30,12,5,0.1761786600496278
경북,울진군,93,5,121,46,68,2021,4,21,10,15,9,15,19,1,2,0,10,7,14,18,12,9,11,9,0,0.38016528925619836
부산,사하구,1110,12,1529,402,997,2019,109,145,163,184,164,177,168,56,33,38,77,100,100,99,119,143,159,115,71,0.262916939175932
광주,광산구,2077,20,3164,334,2701,2022,209,323,306,297,285,351,306,75,32,41,122,197,186,224,218,290,327,222,143,0.10556257901390645
경북,영덕군,264,11,440,144,274,2018,41,38,41,40,35,28,41,6,6,6,17,29,39,36,45,31,26,15,8,0.32727272727272727
경남,하동군,143,11,205,91,99,2019,17,19,25,21,22,17,22,2,1,2,4,25,20,14,22,24,17,9,3,0.44390243902439025
서울,노원구,1462,5,2016,372,1488,2020,176,213,215,202,213,223,220,70,27,37,59,115,145,170,181,184,200,169,105,0.18452380952380953
경남,거제시,808,15,1082,323,721,2021,81,107,132,130,118,123,117,24,9,11,63,78,70,88,91,111,134,80,49,0.29852125693160814
경남,합천군,151,8,229,121,96,2022,21,25,25,16,16,21,27,0,1,0,12,20,25,25,27,21,6,12,2,0.5283842794759825
대전,중구,1052,14,1508,242,1222,2021,121,157,151,149,155,172,147,21,15,13,46,105,103,144,140,131,152,102,80,0.16047745358090185
경기,시흥시,2293,26,3497,631,2666,2020,279,347,326,329,344,349,319,100,49,76,176,224,189,194,246,301,324,249,165,0.18044037746639977
경남,산청군,180,14,304,103,181,2021,25,20,29,34,23,26,23,3,2,3,12,28,21,20,26,25,23,11,6,0.33881578947368424
광주,동구,591,5,853,87,707,2021,53,83,84,97,95,87,92,19,12,11,18,65,67,63,67,81,89,53,46,0.10199296600234467
경남,함안군,294,10,410,135,265,2020,23,50,45,56,47,39,34,7,3,7,28,37,39,42,28,34,38,17,14,0.32926829268292684
경기,김포시,1682,24,2664,569,1878,2018,175,245,246,271,277,247,221,50,24,32,122,220,151,162,210,228,216,166,101,0.2135885885885886
경기,성남시,3834,37,5635,1291,3881,2018,433,535,581,550,602,589,544,233,135,142,203,387,349,319,387,427,506,377,369,0.22910381543921918
경남,밀양시,532,23,728,260,432,2019,57,78,73,80,75,78,91,11,6,20,34,65,63,57,71,66,64,53,22,0.35714285714285715
경남,의령군,130,10,176,66,104,2018,14,21,16,26,16,25,12,1,0,0,6,20,26,18,22,16,14,4,3,0.375
강원,철원군,113,1,178,44,131,2022,17,9,12,22,18,19,16,2,0,3,5,16,22,15,13,17,13,5,2,0.24719101123595505
광주,남구,863,11,1327,149,1131,2020,88,143,129,149,133,123,98,43,16,20,44,90,81,79,123,106,132,68,61,0.11228334589299171
경기,이천시,1016,19,1626,355,1153,2018,103,144,159,144,162,150,154,32,20,24,58,113,98,105,122,116,161,91,76,0.21832718327183273
강원,홍천군,268,9,496,83,360,2022,41,34,35,33,34,53,38,2,2,3,15,32,31,30,42,45,33,21,12,0.16733870967741934
인천,남동구,1937,23,2747,510,2118,2019,231,278,257,297,273,314,287,114,68,62,112,184,176,198,223,247,257,152,144,0.18565708045140153
전남,영광군,245,16,361,106,245,2018,37,46,41,26,34,39,22,7,4,6,12,29,38,32,31,26,32,16,12,0.29362880886426596
충남,보령시,347,18,494,229,262,2018,44,41,68,42,41,50,61,18,7,11,16,48,32,34,31,44,46,38,22,0.46356275303643724
대구,동구,1731,21,2615,422,1948,2020,171,254,296,261,262,245,242,67,29,27,82,174,172,198,209,225,284,166,98,0.16137667304015296
전북,정읍시,671,17,1043,247,781,2018,80,92,92,98,109,109,91,18,15,16,40,72,74,84,84,74,101,55,38,0.236816874400767
경남,고성군,208,13,265,113,148,2022,24,25,33,30,38,34,24,4,4,7,13,29,30,32,21,34,23,9,2,0.42641509433962266
전남,완도군,163,8,239,34,197,2021,13,26,24,25,24,27,24,3,1,6,9,14,22,28,20,29,13,9,9,0.14225941422594143
전북,임실군,119,8,162,62,96,2021,11,22,18,20,21,10,17,0,0,3,8,26,19,11,25,13,10,2,2,0.38271604938271603
전남,완도군,186,4,299,80,218,2019,22,27,27,28,24,33,25,3,2,3,14,27,22,21,35,18,20,12,9,0.26755852842809363
전남,강진군,244,5,401,94,266,2022,26,31,31,49,32,36,39,5,1,3,15,44,38,34,30,30,29,8,7,0.2344139650872818
인천,남동구,1563,15,2231,316,1812,2022,173,196,248,238,214,261,233,68,41,63,87,173,143,133,175,197,206,171,106,0.14164051994621246
충남,부여군,201,6,285,154,131,2020,19,28,25,34,29,32,34,0,1,1,9,28,27,23,26,39,25,15,7,0.5403508771929825
강원,양구군,79,5,107,17,84,2022,9,15,13,10,12,10,10,2,0,0,2,9,4,12,16,11,13,5,5,0.1588785046728972
경기,포천시,826,16,1336,220,1061,2022,95,133,124,113,118,118,125,12,10,17,32,111,88,92,122,129,115,63,35,0.16467065868263472
강원,태백시,170,1,270,40,220,2020,25,21,27,23,25,27,22,2,1,0,8,16,21,25,26,29,16,10,16,0.14814814814814814
대구,북구,2100,16,2951,545,2141,2021,198,330,296,343,316,341,276,59,31,40,120,183,229,237,251,312,307,190,141,0.1846831582514402
전남,순천시,1152,24,1715,261,1399,2021,125,175,162,188,152,199,151,36,23,23,53,133,125,128,123,157,159,124,68,0.1521865889212828
전남,곡성군,122,2,176,55,112,2018,17,18,21,17,18,15,16,2,1,1,5,19,22,19,18,20,11,2,2,0.3125
충남,부여군,222,16,278,159,113,2019,26,38,38,23,35,33,29,0,2,3,16,33,30,29,28,32,36,8,5,0.5719424460431655
전북,완주군,278,17,422,119,296,2019,29,43,45,35,45,47,34,5,4,7,24,34,31,25,34,31,43,27,13,0.28199052132701424
전북,부안군,140,10,190,68,119,2022,21,18,20,12,28,23,18,1,0,1,7,18,17,19,16,27,21,10,3,0.35789473684210527
서울,동작구,1217,7,1651,260,1239,2022,126,184,176,183,153,207,188,47,25,26,63,117,106,132,146,154,185,115,101,0.15748031496062992
서울,성동구,948,8,1222,226,941,2022,102,133,126,147,134,172,134,55,21,29,40,94,95,95,103,111,138,89,78,0.18494271685761046
서울,마포구,1671,11,2429,459,1803,2018,221,203,224,228,242,282,271,154,97,83,92,127,123,157,150,141,215,170,162,0.18896665294359818
광주,동구,540,3,778,96,640,2020,51,84,78,81,98,63,85,23,17,15,33,55,69,45,71,64,61,44,43,0.12339331619537275
경남,김해시,1924,23,2660,732,1776,2022,223,263,284,288,287,301,278,59,35,41,116,168,186,202,216,248,301,207,145,0.27518796992481204
경북,봉화군,83,11,130,38,90,2021,6,12,15,13,13,13,11,2,0,0,5,7,15,14,8,16,10,3,3,0.2923076923076923
경남,남해군,194,5,275,106,129,2021,30,30,23,14,35,27,35,1,1,1,10,23,30,25,37,24,21,11,10,0.38545454545454544
충북,청주시,4141,49,6192,1204,4828,2021,490,589,581,631,597,682,571,156,73,75,230,393,379,483,485,517,634,399,317,0.19444444444444445
강원,인제군,88,7,154,51,93,2021,10,11,10,9,18,15,15,4,1,0,2,15,7,17,10,17,11,2,2,0.33116883116883117
경북,성주군,254,9,372,92,275,2020,26,45,49,46,25,31,32,5,1,7,10,32,36,37,27,42,29,16,12,0.24731182795698925
인천,중구,431,15,617,114,493,2021,67,53,58,60,68,59,66,17,6,11,29,48,34,39,70,60,42,46,29,0.1847649918962723
경기,의왕시,488,10,780,165,546,2019,57,69,70,69,92,75,56,19,9,19,32,59,48,64,50,65,61,37,25,0.21153846153846154
강원,인제군,89,5,151,42,90,2022,16,8,11,14,8,14,18,1,0,1,2,12,7,20,17,16,4,6,3,0.2781456953642384
경기,광주시,1867,20,2871,480,2182,2019,201,266,278,292,282,279,269,62,40,41,118,220,199,212,203,222,306,152,92,0.1671891327063741
전남,함평군,193,9,297,65,189,2019,28,30,29,31,21,27,27,6,2,0,8,27,27,31,26,24,26,7,9,0.21885521885521886
전남,함평군,185,6,319,60,211,2020,23,23,34,28,23,26,28,5,0,1,13,26,26,26,28,33,14,10,3,0.18808777429467086
충남,아산시,762,38,1046,327,674,2018,96,109,118,108,112,102,117,33,26,20,54,60,52,63,86,102,97,97,72,0.31261950286806883
부산,연제구,868,3,1183,277,822,2019,87,120,122,133,122,147,137,39,26,25,43,82,91,89,89,103,123,92,66,0.23415046491969568
대구,남구,859,5,1257,263,916,2018,100,129,122,144,133,125,106,46,31,35,35,77,102,94,104,94,89,92,60,0.2092283214001591
대전,서구,2677,23,4096,599,3309,2019,300,405,362,365,384,447,414,167,103,89,119,254,227,256,258,308,409,285,202,0.146240234375
전북,임실군,115,7,181,56,120,2019,6,24,17,24,12,15,17,0,0,1,12,12,18,19,18,14,11,6,4,0.30939226519337015
경기,가평군,380,11,682,128,481,2018,62,49,51,59,39,37,83,7,9,3,11,44,57,60,57,53,36,22,21,0.187683284457478
경기,과천시,208,4,354,40,295,2022,22,33,36,24,33,28,32,3,3,4,20,25,25,22,27,26,28,20,5,0.11299435028248588
부산,금정구,816,11,1105,222,799,2022,96,121,122,111,122,131,113,30,14,12,35,93,92,110,87,134,107,67,35,0.20090497737556562
인천,동구,107,4,136,33,103,2021,9,21,16,6,14,21,20,3,1,1,8,8,11,7,16,20,18,11,3,0.2426470588235294
전북,남원시,311,8,440,170,269,2019,33,54,49,47,41,49,38,6,3,5,14,36,28,41,47,50,48,26,7,0.38636363636363635
부산,강서구,783,15,1188,279,856,2021,68,111,120,103,140,147,94,14,10,20,85,96,71,90,93,110,98,58,38,0.23484848484848486
경북,경주시,1312,30,1914,543,1252,2020,178,213,189,193,202,173,164,43,16,34,75,132,164,167,162,168,164,111,76,0.2836990595611285
서울,서초구,2264,8,3391,441,2775,2022,223,296,323,374,370,366,312,89,68,50,103,232,254,264,253,273,321,201,156,0.13005013270421706
인천,남동구,1834,19,2649,441,2065,2020,185,256,292,312,256,272,261,96,56,46,111,173,157,190,204,218,258,185,140,0.1664779161947905
충남,당진시,783,33,1207,375,806,2019,100,110,111,116,109,132,105,18,9,20,43,73,75,93,91,104,127,79,51,0.3106876553438277
전남,고흥군,329,17,595,219,358,2019,43,62,41,38,52,50,43,3,7,9,23,49,42,41,48,44,37,17,9,0.3680672268907563
부산,동구,574,3,826,196,561,2019,60,92,87,74,82,91,88,22,18,20,32,50,66,71,72,68,70,41,44,0.23728813559322035
인천,옹진군,32,3,55,20,29,2019,7,4,5,3,4,8,1,3,0,0,1,4,3,5,2,7,1,5,1,0.36363636363636365
전남,광양시,739,17,1142,236,862,2019,79,98,99,98,118,130,117,31,12,15,47,78,72,91,78,95,110,53,57,0.20665499124343256
서울,영등포구,2178,15,2967,472,2270,2021,237,295,318,320,306,379,323,74,28,52,101,165,216,294,264,273,301,239,171,0.15908324907313784
전남,나주시,643,23,1139,217,889,2018,73,96,91,106,83,105,89,16,18,6,42,75,79,73,62,67,102,57,46,0.19051799824407376
세종,세종시,813,7,1076,313,733,2020,75,123,124,129,120,132,110,25,15,19,51,98,70,85,81,117,127,76,49,0.2908921933085502
경기,평택시,3190,41,4819,801,3595,2020,351,467,476,485,475,516,420,141,80,97,266,276,262,312,310,388,481,354,223,0.16621705748080515
충북,증평군,167,2,242,74,157,2020,23,27,21,24,17,26,29,3,2,7,14,15,22,24,15,19,26,15,5,0.30578512396694213
제주,서귀포시,1273,26,2052,519,1305,2019,158,165,184,197,188,185,196,42,19,28,69,137,146,157,171,190,165,89,60,0.25292397660818716
경기,시흥시,2480,30,3880,805,2806,2019,266,367,381,357,336,417,356,116,68,77,182,239,221,238,222,314,360,267,176,0.20747422680412372
서울,성동구,1119,9,1481,322,1071,2020,111,173,203,184,156,167,125,71,23,30,71,108,96,105,129,107,161,119,99,0.2174206617150574
서울,은평구,1134,12,1580,367,1064,2018,127,169,189,144,149,182,174,86,53,32,78,108,106,107,121,125,125,103,90,0.23227848101265822
경기,남양주시,1970,24,2927,558,2228,2022,224,287,275,292,291,296,305,64,31,40,90,235,174,228,259,256,297,175,121,0.19063887939870175
서울,강동구,1151,7,1553,302,1169,2022,112,170,165,178,184,183,159,51,23,35,70,104,110,126,112,149,163,122,86,0.19446233097231166
서울,강서구,1502,11,2208,489,1546,2018,174,204,198,223,240,225,238,95,67,82,96,145,119,130,132,176,165,171,124,0.22146739130434784
