시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Severity
울산,동구,507,6,641,190,445,2018,57,66,69,78,81,85,71,26,16,18,56,31,30,31,61,72,69,58,39,0.296411856474259
충남,서천군,256,17,401,109,288,2021,30,40,37,34,37,53,25,4,4,5,16,30,36,39,38,31,26,19,8,0.2718204488778055
충남,계룡시,54,2,87,21,65,2020,7,8,6,4,11,14,4,0,1,0,1,5,3,6,8,9,14,5,2,0.2413793103448276
부산,사상구,921,11,1226,274,801,2020,91,147,150,124,136,147,126,38,15,30,61,101,118,78,107,120,129,65,59,0.2234910277324633
충남,서천군,289,14,416,108,301,2020,30,34,42,49,39,49,46,7,5,3,19,34,46,41,39,24,26,29,16,0.25961538461538464
전남,영암군,323,14,527,80,440,2021,40,56,36,46,45,56,44,9,4,7,22,27,40,47,39,49,49,17,13,0.15180265654648956
강원,동해시,296,4,419,97,320,2020,36,50,33,42,49,44,42,6,6,7,18,33,28,42,37,43,32,25,19,0.2315035799522673
경북,포항시,2777,33,4269,839,3187,2019,328,410,400,424,412,401,402,84,75,48,136,274,298,291,318,371,435,267,180,0.19653314593581636
충남,태안군,320,17,584,224,309,2019,41,37,55,39,52,41,55,4,3,8,17,34,42,45,45,46,38,24,14,0.3835616438356164
대구,달성군,945,23,1393,269,1053,2020,95,141,135,148,153,153,120,21,12,21,51,85,84,105,112,148,154,106,46,0.19310839913854988
제주,서귀포시,1151,24,1868,472,1263,2020,127,163,182,201,171,155,152,36,24,21,58,118,123,130,191,167,141,85,57,0.25267665952890794
경북,포항시,2203,27,3300,628,2493,2022,250,305,318,339,301,367,323,64,35,41,109,208,245,262,279,303,309,212,136,0.1903030303030303
대구,북구,2137,17,2998,569,2182,2020,207,313,329,343,295,339,311,78,43,53,105,195,195,237,242,296,351,219,123,0.18979319546364243
경북,영천시,721,20,1228,262,912,2018,76,130,105,110,100,103,97,20,12,15,66,73,84,89,92,91,93,50,36,0.21335504885993486
경기,안산시,3931,35,5753,949,4487,2020,421,618,571,611,551,590,569,161,85,107,274,362,324,375,431,523,591,454,244,0.16495741352337912
서울,송파구,2607,14,3509,626,2594,2021,262,354,388,373,424,448,358,95,33,37,109,249,263,315,278,344,369,280,235,0.17839840410373325
전남,담양군,292,4,488,89,385,2021,41,28,47,50,42,39,45,4,0,2,25,35,39,37,41,55,33,11,10,0.18237704918032788
강원,화천군,88,9,141,51,87,2018,8,19,11,13,15,7,15,2,0,0,6,15,12,15,19,8,7,2,2,0.3617021276595745
강원,정선군,107,6,169,56,104,2019,17,17,15,19,14,12,13,1,0,3,10,8,10,14,14,15,14,13,5,0.33136094674556216
경기,양평군,490,15,751,175,528,2022,57,70,70,62,71,80,80,5,2,6,27,65,71,61,64,82,52,37,18,0.23302263648468707
부산,서구,452,6,627,141,446,2018,53,74,66,57,71,75,56,19,12,10,23,60,43,47,53,62,54,39,30,0.22488038277511962
전남,진도군,105,8,154,47,104,2020,8,17,15,17,11,17,20,2,1,2,5,15,19,15,16,8,14,6,2,0.3051948051948052
제주,서귀포시,1236,40,2080,514,1209,2018,147,196,177,186,189,158,183,49,21,17,62,128,135,148,146,168,171,128,63,0.24711538461538463
경북,고령군,189,11,277,99,173,2018,25,23,37,27,27,25,25,5,0,2,12,30,24,27,21,26,24,13,5,0.3574007220216607
충남,예산군,375,13,555,131,417,2020,47,61,69,56,39,44,59,12,3,6,25,48,46,48,50,50,40,31,16,0.23603603603603604
경북,성주군,277,13,396,144,251,2018,22,53,49,36,48,31,38,11,8,5,18,40,43,36,23,39,21,22,11,0.36363636363636365
경북,구미시,1693,25,2429,553,1657,2020,171,275,263,262,266,236,220,54,50,39,96,144,139,181,191,216,252,191,140,0.2276657060518732
충남,홍성군,322,12,443,149,290,2020,22,56,42,54,52,47,49,9,7,7,16,38,34,32,34,48,42,36,19,0.3363431151241535
경북,의성군,209,14,303,114,188,2021,16,40,36,29,25,41,22,0,3,1,17,16,33,29,25,32,31,14,8,0.37623762376237624
충남,태안군,322,14,502,194,267,2018,47,56,45,38,46,39,51,15,9,5,17,30,51,37,39,42,45,20,12,0.38645418326693226
경기,오산시,997,10,1418,199,1025,2022,125,123,147,187,151,136,128,26,18,32,72,106,84,98,109,126,139,103,84,0.14033850493653033
경남,김해시,2105,33,2999,987,1905,2020,231,304,291,325,323,323,308,90,48,44,117,176,189,242,214,276,333,232,144,0.32910970323441147
부산,사하구,969,5,1324,338,872,2020,102,155,136,141,155,160,120,40,20,24,75,94,87,104,119,113,136,86,71,0.2552870090634441
충북,청주시,4949,49,7938,1551,6097,2019,553,752,729,734,682,776,723,200,115,125,286,532,422,510,567,617,731,492,352,0.19538926681783825
전남,영광군,155,7,205,71,127,2021,10,19,29,25,29,24,19,0,3,3,9,19,20,28,19,20,22,5,7,0.3463414634146341
경기,평택시,3527,51,5730,993,4046,2019,381,494,570,576,471,545,490,143,68,161,277,320,298,341,350,459,512,354,244,0.17329842931937173
강원,평창군,178,4,396,84,270,2021,23,24,25,20,24,29,33,3,4,1,7,17,21,22,42,29,18,8,6,0.21212121212121213
전남,나주시,646,25,1120,186,906,2019,58,108,92,99,101,112,76,13,6,16,42,71,76,75,74,109,82,47,35,0.16607142857142856
경북,경산시,1089,23,1518,334,1140,2020,99,167,187,164,151,188,133,41,21,23,69,103,89,141,105,151,161,103,82,0.22002635046113306
전남,화순군,309,5,556,102,430,2021,32,45,48,39,55,50,40,5,1,2,21,36,44,38,36,50,51,14,11,0.18345323741007194
서울,중랑구,1447,4,1952,381,1345,2020,153,225,237,186,210,230,206,63,41,45,71,121,133,140,161,173,214,169,116,0.19518442622950818
부산,강서구,729,10,978,262,671,2020,64,117,120,111,105,119,93,24,11,15,79,75,73,85,96,97,88,52,34,0.26789366053169733
경남,거창군,274,9,359,123,228,2021,23,37,46,37,41,54,36,3,6,1,8,33,37,43,38,41,38,14,12,0.3426183844011142
인천,미추홀구,1127,17,1590,291,1129,2018,144,182,161,149,177,153,161,87,39,59,58,112,79,97,97,129,150,115,105,0.1830188679245283
대전,유성구,1961,22,3201,523,2502,2018,177,298,300,284,290,331,281,97,57,50,130,212,177,187,190,203,283,202,173,0.1633864417369572
광주,광산구,2088,15,3444,361,2896,2020,197,342,317,322,315,324,271,90,37,44,125,176,155,190,223,322,330,236,160,0.10481997677119628
울산,남구,1193,14,1586,342,1143,2021,137,165,166,201,180,185,159,52,21,30,80,107,115,121,118,142,137,143,127,0.21563682219419925
울산,울주군,660,11,1005,239,647,2022,74,97,113,95,101,100,80,22,8,15,68,73,58,76,75,101,74,50,40,0.23781094527363184
경남,거제시,820,14,1108,347,739,2020,88,114,107,120,133,144,114,28,16,11,58,62,68,89,85,102,161,85,55,0.3131768953068592
충북,보은군,149,6,224,96,121,2018,12,26,19,22,23,24,23,3,1,2,7,14,24,21,20,25,18,8,6,0.42857142857142855
충북,괴산군,239,14,426,145,265,2018,28,29,35,32,44,39,32,3,7,3,9,21,44,31,34,39,27,13,8,0.3403755868544601
전남,해남군,281,16,419,122,286,2020,32,41,42,43,38,51,34,2,4,10,20,46,40,34,38,34,27,18,8,0.2911694510739857
전남,신안군,88,11,117,49,68,2018,6,12,16,12,14,13,15,1,1,0,12,14,15,10,11,12,8,2,2,0.4188034188034188
전북,군산시,1103,25,1743,279,1415,2020,134,166,147,165,159,172,160,43,25,20,70,89,129,126,130,127,155,109,80,0.16006884681583478
전북,전주시,2082,40,3116,589,2483,2020,221,292,346,333,299,340,251,123,49,49,119,172,192,187,205,241,287,264,194,0.18902439024390244
전남,곡성군,122,7,184,49,128,2020,12,16,21,19,22,13,19,1,1,2,7,17,16,23,14,14,15,10,2,0.266304347826087
광주,서구,1700,11,2614,245,2251,2022,176,227,263,255,237,293,249,76,54,37,81,183,155,168,188,218,245,167,128,0.09372609028309105
강원,고성군,129,2,206,44,119,2020,14,16,22,12,17,24,24,1,0,1,7,17,21,13,26,18,15,7,3,0.21359223300970873
경기,파주시,1658,21,2408,506,1719,2019,183,268,258,234,229,248,238,50,31,39,99,186,146,175,180,214,251,179,108,0.2101328903654485
전남,보성군,273,13,429,129,281,2018,27,44,41,60,35,34,32,3,3,3,10,49,35,33,51,25,39,17,5,0.3006993006993007
전남,신안군,141,3,269,69,195,2019,14,20,20,20,24,20,23,4,1,2,14,16,26,16,18,16,21,6,1,0.25650557620817843
경남,양산시,1232,18,1608,355,1083,2022,160,157,185,161,183,206,180,39,30,21,72,123,115,138,156,184,168,113,73,0.22077114427860697
경북,상주시,445,23,654,178,446,2022,56,65,69,69,56,64,66,8,3,4,18,44,58,59,71,79,49,34,18,0.27217125382262997
충북,영동군,158,10,217,89,121,2020,12,26,25,26,26,28,15,3,2,3,14,18,20,21,24,25,17,8,3,0.41013824884792627
전남,보성군,180,17,270,83,183,2021,16,31,28,25,30,28,22,1,0,2,15,19,32,24,30,28,15,11,3,0.3074074074074074
경남,밀양시,478,14,683,231,421,2021,61,72,68,69,73,67,68,8,4,5,26,42,85,61,79,66,50,37,15,0.33821376281112736
서울,강서구,1829,20,2491,470,1834,2019,219,242,265,265,263,289,286,111,55,77,102,181,157,193,168,225,236,164,160,0.18867924528301888
부산,사하구,1003,3,1378,390,871,2018,102,161,124,146,157,172,141,53,32,25,82,75,89,97,103,125,137,109,76,0.2830188679245283
부산,사상구,705,12,917,242,623,2021,58,107,118,89,97,118,118,24,6,21,45,68,86,77,79,98,86,71,44,0.2639040348964013
충북,제천시,912,21,1575,319,1168,2018,115,146,143,126,129,134,119,31,20,19,44,92,96,88,112,119,134,102,55,0.20253968253968255
전북,익산시,1049,30,1527,357,1154,2018,114,177,144,159,157,151,147,37,26,26,62,113,98,108,98,140,164,114,63,0.2337917485265226
강원,동해시,356,5,523,97,420,2018,38,55,53,48,61,44,57,5,4,6,18,44,41,42,41,60,41,34,20,0.18546845124282982
강원,속초시,413,5,664,189,464,2022,69,43,47,47,52,86,69,10,5,3,6,32,54,64,67,55,61,29,27,0.28463855421686746
경남,밀양시,371,15,541,205,319,2018,47,36,66,50,58,62,52,5,6,5,20,47,61,41,55,48,38,30,15,0.3789279112754159
경북,성주군,278,13,410,112,271,2022,36,43,37,40,35,50,37,3,2,5,12,32,55,37,36,36,24,19,17,0.2731707317073171
대구,남구,902,4,1318,262,949,2019,116,141,142,137,121,135,110,44,26,17,44,79,84,104,104,118,148,80,54,0.19878603945371776
전남,무안군,395,15,617,120,493,2020,46,50,60,62,49,70,58,11,4,8,24,47,50,45,41,47,65,27,26,0.19448946515397084
대구,수성구,2136,9,3062,505,2324,2021,203,311,364,325,310,318,305,75,35,26,81,204,236,232,271,288,313,213,162,0.16492488569562377
충남,공주시,608,22,1034,247,740,2019,80,86,83,82,89,87,101,15,15,16,39,64,69,64,83,80,81,51,31,0.23887814313346228
전남,완도군,153,9,228,42,184,2022,13,21,21,34,21,24,19,2,0,0,10,20,20,18,23,25,10,14,11,0.18421052631578946
충남,태안군,270,14,411,125,270,2021,42,27,51,37,31,40,42,7,4,5,7,27,38,40,41,42,30,21,8,0.30413625304136255
경기,김포시,1775,18,2669,503,2062,2021,171,294,247,277,271,275,240,39,19,27,88,163,184,209,224,269,255,184,114,0.18846009741476208
경북,고령군,177,9,247,76,165,2021,13,25,25,27,32,28,27,4,2,2,13,23,25,23,27,24,15,10,9,0.3076923076923077
부산,기장군,505,10,806,164,589,2019,63,80,83,68,69,76,66,10,12,11,26,48,46,51,83,79,61,49,29,0.20347394540942929
인천,부평구,1278,16,1709,326,1336,2019,158,171,189,173,191,184,212,63,45,51,60,119,110,127,137,153,168,144,101,0.19075482738443533
경북,김천시,683,17,952,278,659,2019,78,101,99,91,102,107,105,12,9,10,41,81,87,71,83,109,89,57,34,0.2920168067226891
경남,창원시(통합),3245,62,4524,1327,3013,2019,327,493,469,480,479,509,488,153,77,72,223,336,310,350,365,390,450,305,214,0.2933244916003537
전남,화순군,299,11,574,103,409,2018,37,41,51,44,45,40,41,5,4,3,23,31,41,41,39,37,41,24,10,0.1794425087108014
울산,중구,624,8,849,224,565,2021,63,85,103,98,82,106,87,17,9,14,28,60,62,62,78,77,101,72,44,0.26383981154299174
부산,서구,474,2,684,179,443,2019,58,80,71,56,65,86,58,22,16,16,27,52,50,57,49,59,47,46,33,0.26169590643274854
서울,구로구,1532,13,2129,452,1536,2018,166,230,236,220,237,237,206,99,53,71,90,132,124,133,169,189,180,159,133,0.21230624706434947
광주,동구,509,3,767,110,628,2018,52,86,78,65,81,84,63,38,17,9,23,52,43,59,59,59,54,60,36,0.14341590612777053
충남,서산시,839,26,1268,499,687,2019,110,126,128,118,125,116,116,40,29,24,62,76,82,78,81,113,113,75,66,0.39353312302839116
전북,장수군,73,4,96,53,43,2020,7,19,14,6,8,11,8,1,1,1,1,14,4,9,20,9,3,6,4,0.5520833333333334
서울,중구,1184,5,1615,365,1083,2019,102,183,180,199,169,211,140,65,35,43,53,101,122,146,157,140,124,113,85,0.2260061919504644
울산,남구,1272,11,1744,426,1195,2020,135,184,198,178,181,220,176,70,56,27,82,106,131,116,131,166,152,121,114,0.24426605504587157
전남,장흥군,241,3,400,76,297,2022,27,30,33,47,37,32,35,2,1,2,8,44,48,32,41,27,22,11,3,0.19
서울,구로구,1350,9,1729,317,1316,2021,142,204,198,227,189,215,175,29,22,43,54,127,129,147,138,177,226,166,92,0.18334297281665704
충남,천안시,3086,51,4595,709,3610,2020,383,423,447,449,458,487,439,162,71,75,182,280,275,311,321,376,433,350,250,0.1542981501632209
서울,광진구,869,4,1145,230,857,2020,94,121,122,148,136,138,110,69,33,30,38,94,78,70,84,84,116,95,78,0.20087336244541484
대전,중구,1225,11,1781,303,1420,2020,139,168,161,179,207,205,166,56,21,28,50,136,127,117,146,158,177,123,86,0.17012914093206064
경남,함안군,327,17,494,147,327,2019,36,45,53,53,44,45,51,6,5,6,24,47,30,43,48,44,43,22,9,0.2975708502024291
전남,나주시,493,17,809,158,624,2020,62,73,69,63,75,86,65,14,8,8,39,55,69,58,61,72,54,35,20,0.19530284301606923
전북,무주군,128,12,203,69,134,2018,14,19,26,14,13,21,21,3,0,1,8,22,12,23,9,23,12,11,4,0.3399014778325123
경북,의성군,241,20,334,158,176,2019,27,36,28,36,33,46,35,5,3,3,12,32,42,39,25,35,27,12,6,0.47305389221556887
강원,영월군,136,2,227,91,113,2021,16,23,16,23,23,13,22,3,1,1,9,19,20,19,23,13,21,3,4,0.4008810572687225
충북,단양군,157,10,279,89,159,2019,20,20,23,24,23,24,23,5,0,0,7,15,17,28,28,20,18,10,9,0.31899641577060933
충북,옥천군,228,11,340,121,215,2018,33,26,31,34,27,42,35,3,5,4,16,36,25,23,28,34,27,19,8,0.3558823529411765
대구,달서구,2558,15,3535,619,2775,2022,254,394,379,392,394,405,340,98,37,39,132,273,244,266,269,345,398,275,182,0.1751060820367751
충남,홍성군,341,21,474,145,321,2019,38,50,51,58,48,45,51,12,5,7,22,40,39,26,37,34,63,40,16,0.3059071729957806
경북,경주시,1206,35,1810,503,1218,2022,160,157,162,167,152,207,201,31,14,18,76,123,142,160,162,164,169,91,56,0.27790055248618784
제주,제주시,2790,39,4122,667,2964,2022,329,416,400,425,386,456,378,85,43,39,130,290,287,355,360,380,387,259,175,0.16181465308102863
대구,남구,643,3,898,134,705,2022,64,103,109,84,94,91,98,25,14,13,23,54,63,82,80,100,75,80,34,0.1492204899777283
충북,진천군,491,16,703,155,528,2021,60,74,76,75,71,83,52,11,5,10,42,47,46,60,41,85,68,56,20,0.22048364153627312
광주,동구,571,6,831,100,688,2022,61,77,105,79,74,96,79,26,9,15,20,74,66,64,74,60,63,60,40,0.12033694344163658
인천,연수구,644,5,870,158,694,2022,58,90,106,84,90,113,103,23,17,14,34,67,51,51,78,76,85,76,72,0.18160919540229886
강원,정선군,101,3,156,50,98,2020,12,16,14,9,19,15,16,2,1,2,5,10,19,17,11,10,13,8,3,0.32051282051282054
전남,곡성군,110,7,193,66,121,2021,12,16,20,9,19,18,16,1,1,4,8,19,20,17,11,15,6,7,1,0.34196891191709844
전북,전주시,2151,39,3070,569,2469,2021,236,312,306,338,304,346,309,82,29,46,99,208,188,210,232,310,319,240,188,0.18534201954397395
서울,도봉구,522,2,705,172,471,2022,76,74,67,86,62,81,76,23,13,18,18,48,41,55,66,63,68,70,39,0.24397163120567375
서울,영등포구,2439,11,3451,606,2532,2019,288,355,356,342,332,400,366,134,91,83,106,243,223,264,281,275,304,221,214,0.1756012749927557
경남,창녕군,336,14,502,180,288,2018,40,50,39,49,50,62,46,6,3,6,25,41,45,46,36,52,34,23,19,0.35856573705179284
경북,청도군,221,15,361,110,242,2018,39,41,24,36,22,27,32,2,0,8,15,26,34,18,37,29,27,17,8,0.3047091412742382
서울,종로구,1134,6,1546,320,1039,2018,104,170,168,165,164,176,187,76,40,43,64,94,108,111,118,105,131,115,129,0.2069857697283312
전남,신안군,97,8,171,46,122,2022,8,14,18,13,15,9,20,3,1,4,2,17,16,13,12,14,10,2,3,0.26900584795321636
경남,거창군,250,15,320,119,183,2019,32,36,44,23,29,39,47,9,5,4,10,38,28,30,35,35,32,15,9,0.371875
울산,중구,603,4,880,181,649,2022,80,80,90,93,71,86,103,21,5,8,35,58,55,64,67,95,97,55,43,0.2056818181818182
전남,고흥군,255,9,380,141,213,2022,29,40,35,34,39,45,33,0,0,6,18,38,41,33,42,38,23,13,3,0.37105263157894736
전북,순창군,110,6,158,37,87,2021,13,12,20,18,19,19,9,3,1,2,7,21,9,21,16,10,10,5,5,0.23417721518987342
광주,북구,2430,15,3801,448,3190,2019,251,353,368,358,351,386,363,102,64,67,112,263,218,217,278,293,348,277,191,0.11786372007366483
경북,포항시,2537,27,3887,693,3003,2020,254,400,358,391,382,397,355,83,62,53,166,227,251,255,319,373,351,234,163,0.17828659634679703
서울,서초구,2478,18,3640,693,2625,2018,231,368,334,341,405,426,373,131,98,106,142,240,262,251,226,279,289,216,238,0.19038461538461537
울산,동구,628,1,817,211,588,2019,75,84,91,94,115,93,76,25,14,6,84,46,48,51,54,90,108,64,38,0.2582619339045288
경기,성남시,3398,27,4751,829,3509,2021,338,488,522,534,480,534,502,89,41,69,175,303,342,370,383,431,544,359,292,0.17448958114081245
경북,영주시,537,10,760,251,464,2018,47,87,79,74,78,93,79,9,5,13,32,63,51,64,59,69,85,63,24,0.33026315789473687
전북,완주군,194,15,281,105,171,2021,16,27,37,23,31,26,34,12,2,6,14,17,12,11,22,34,29,22,13,0.3736654804270463
경남,합천군,168,9,221,97,107,2018,19,19,22,31,27,30,20,1,1,2,5,27,26,16,21,34,18,9,8,0.43891402714932126
경북,상주시,544,38,782,255,522,2020,57,82,85,73,93,84,70,8,6,11,22,67,77,58,81,89,75,32,18,0.32608695652173914
경북,상주시,492,30,701,231,463,2021,58,77,79,60,73,84,61,10,7,4,26,66,81,70,59,73,54,25,17,0.32952924393723254
부산,서구,488,4,670,158,440,2020,54,69,70,66,74,77,78,11,12,10,34,45,61,68,49,56,65,53,24,0.23582089552238805
경북,울릉군,22,1,33,14,18,2018,3,3,3,0,4,4,5,0,0,0,1,2,5,1,4,3,3,3,0,0.42424242424242425
경기,여주시,558,15,940,172,719,2022,75,81,91,67,66,88,90,11,8,11,30,57,77,74,81,80,62,50,17,0.1829787234042553
충남,보령시,479,16,704,290,401,2019,47,65,70,64,66,87,80,17,11,10,24,52,59,59,50,57,70,41,29,0.4119318181818182
전북,남원시,291,12,375,137,233,2021,37,55,41,44,34,33,47,6,1,7,18,36,45,36,33,43,46,17,3,0.36533333333333334
서울,중랑구,1401,10,1890,383,1340,2022,148,192,203,193,222,236,207,61,22,38,57,122,128,154,160,191,218,158,92,0.20264550264550266
전남,완도군,167,13,233,78,154,2018,16,21,28,24,21,32,25,5,0,4,11,24,30,18,18,21,16,10,10,0.33476394849785407
경북,영천시,717,21,1189,183,975,2020,77,97,106,114,102,116,105,23,6,14,35,70,83,95,82,111,111,58,29,0.15391084945332212
경남,진주시,842,28,1082,496,556,2019,113,120,121,125,117,116,130,41,22,22,41,76,87,73,69,106,133,103,69,0.4584103512014787
강원,평창군,154,5,239,72,161,2020,26,24,18,21,20,24,21,5,1,2,9,15,21,24,27,25,20,3,2,0.301255230125523
부산,영도구,332,4,441,127,290,2020,37,54,51,48,48,56,38,17,3,6,16,24,45,36,38,46,48,25,28,0.28798185941043086
경남,고성군,243,21,352,150,199,2018,27,29,33,48,34,43,29,3,2,6,21,29,30,31,28,27,39,17,10,0.42613636363636365
충남,청양군,191,10,271,98,171,2019,18,37,23,23,28,32,30,2,2,7,15,19,25,25,30,17,25,14,10,0.36162361623616235
서울,노원구,1569,14,2227,415,1632,2018,175,224,239,223,249,232,227,106,55,75,91,141,139,154,150,192,181,166,119,0.1863493488998653
부산,해운대구,968,9,1350,277,970,2021,89,157,137,139,124,179,143,41,16,15,49,82,101,118,123,118,129,94,82,0.2051851851851852
인천,미추홀구,1229,17,1641,313,1167,2019,169,161,169,175,170,214,171,83,56,48,56,122,105,116,126,157,141,118,101,0.1907373552711761
경남,거제시,698,14,933,268,613,2022,76,97,94,118,100,121,92,20,7,16,58,62,77,79,74,107,86,62,50,0.2872454448017149
경기,의왕시,444,5,726,170,504,2018,41,58,71,57,71,69,77,31,10,15,25,49,38,40,38,60,60,48,30,0.23415977961432508
강원,횡성군,223,7,375,107,242,2020,33,25,32,34,26,40,33,1,1,6,14,22,34,29,37,39,23,12,5,0.2853333333333333
경남,사천시,624,11,969,276,611,2020,64,91,88,87,92,96,106,11,5,23,47,52,73,76,67,89,92,49,40,0.2848297213622291
충남,보령시,331,20,486,165,306,2022,32,67,48,46,53,39,46,4,1,8,24,34,49,33,51,51,36,24,16,0.3395061728395062
전남,곡성군,102,6,161,45,106,2022,7,12,20,12,13,22,16,0,1,1,4,11,17,21,17,14,11,5,0,0.2795031055900621
울산,중구,769,10,1080,251,704,2018,94,122,121,96,105,111,120,32,18,26,55,56,61,82,86,95,117,74,67,0.2324074074074074
경남,함안군,273,25,383,135,232,2018,30,39,39,42,43,41,39,3,3,5,22,30,32,30,28,40,34,35,11,0.3524804177545692
광주,광산구,2204,15,3439,390,2877,2021,244,294,331,343,341,361,290,81,30,32,141,206,201,218,254,321,307,241,172,0.11340505961035184
부산,북구,566,7,747,164,536,2021,71,90,66,89,77,95,78,13,5,11,24,38,62,82,65,68,89,63,46,0.21954484605087016
충남,공주시,630,24,1092,311,711,2018,72,91,82,77,94,100,114,19,9,17,30,70,71,70,85,95,94,35,35,0.2847985347985348
강원,고성군,135,12,197,44,143,2018,13,26,25,14,18,15,24,1,2,4,7,14,16,15,16,26,17,13,4,0.2233502538071066
경기,여주시,592,17,983,206,709,2019,79,88,79,84,79,82,101,17,9,10,33,58,67,81,74,75,86,56,26,0.20956256358087488
전북,고창군,147,10,238,72,163,2020,15,25,27,22,19,19,20,3,3,4,9,22,23,17,12,27,11,10,6,0.3025210084033613
경남,거제시,856,11,1171,371,789,2018,110,107,128,119,127,151,114,36,15,18,72,83,77,79,91,125,116,88,56,0.31682322801024765
전북,장수군,56,2,128,45,83,2018,9,10,4,6,5,17,5,0,0,4,5,4,8,5,12,7,6,4,1,0.3515625
경기,수원시,4997,39,7148,1433,5124,2018,586,698,706,762,766,730,749,286,164,180,269,505,401,435,500,578,679,525,475,0.20047565752658086
전남,영암군,488,24,863,182,672,2018,48,88,66,67,73,79,67,4,6,14,51,67,62,64,53,60,62,35,10,0.21089223638470453
서울,서초구,2250,9,3075,441,2397,2020,213,310,327,356,348,407,289,109,54,45,98,191,232,239,280,307,302,212,181,0.14341463414634145
경북,영주시,419,11,550,183,347,2020,44,74,74,61,54,60,52,7,5,6,12,35,37,68,65,72,59,32,21,0.3327272727272727
전북,익산시,1396,34,2007,398,1579,2019,143,232,208,171,207,222,213,37,28,28,101,140,142,173,151,187,190,135,84,0.1983059292476333
경남,산청군,151,8,237,70,151,2022,21,17,18,28,18,20,29,3,0,1,6,13,23,29,21,20,23,7,5,0.29535864978902954
경기,안산시,3685,22,5388,855,4181,2022,386,537,534,549,552,587,540,138,71,99,272,375,305,356,364,502,574,389,240,0.15868596881959912
전남,신안군,105,10,177,49,124,2020,10,15,9,15,25,19,12,2,1,3,12,11,16,14,15,13,8,7,3,0.2768361581920904
경기,구리시,668,11,966,202,714,2018,69,101,109,93,97,103,96,24,22,29,44,72,93,67,62,61,78,68,48,0.20910973084886128
전북,임실군,93,3,163,40,123,2018,10,20,16,12,10,14,11,0,0,2,5,16,18,19,9,9,8,6,1,0.24539877300613497
충북,괴산군,181,6,314,79,223,2021,21,28,17,29,32,27,27,2,2,3,8,15,34,25,28,18,29,13,4,0.2515923566878981
충남,부여군,193,13,264,121,143,2021,23,29,25,18,30,32,36,5,4,5,14,15,29,34,23,34,20,5,5,0.4583333333333333
서울,노원구,1384,6,1913,311,1462,2022,155,186,197,210,215,219,202,55,33,27,72,148,140,171,136,184,160,154,104,0.16257187663355985
서울,도봉구,824,6,1061,281,659,2018,97,104,124,131,133,137,98,30,30,25,42,84,69,71,90,120,125,72,66,0.2648444863336475
경기,가평군,400,3,675,103,538,2022,68,56,45,50,43,52,86,8,2,2,21,42,62,64,68,52,42,24,13,0.15259259259259259
울산,남구,1254,23,1757,503,1176,2018,135,164,204,186,173,201,191,93,50,49,90,123,101,109,91,143,143,126,136,0.28628343767785996
대구,북구,2358,25,3414,793,2313,2018,238,369,354,349,299,388,361,104,64,80,142,253,192,182,245,316,366,240,174,0.2322788517867604
충북,음성군,537,12,820,219,579,2022,62,100,77,89,64,75,70,11,10,11,39,63,49,54,57,82,82,58,21,0.26707317073170733
경북,문경시,279,6,442,100,310,2022,31,44,38,27,43,47,49,6,5,4,16,28,37,43,38,43,25,22,12,0.22624434389140272
서울,영등포구,2493,22,3532,620,2596,2018,260,353,347,364,368,426,375,163,101,97,134,260,213,212,229,270,322,237,255,0.1755379388448471
